group,Subj_new,block,trial,market_change,exp,expt1,port_value,portvalue_tM1_subj,portvalue_tM2_matlab,portvalue_tMJ_subj,Known_change_exp,change_exp,Kown_change,change,vWTP
1,57,4,167,7.06042,1,1,115,121,115,112,8,5,9,6,1
1,57,4,168,-1.55032,1,1,113,115,121,121,-7,-7,-6,-6,0
1,57,4,169,5.37783,1,1,119,113,115,115,-3,-3,-2,-2,0
1,57,4,170,-5.30993,1,1,119,119,113,113,5,5,6,6,1
1,57,4,171,2.5768,0,1,119,NaN,119,119,NaN,NaN,NaN,NaN,0
1,57,4,172,3.47188,1,0,114,NaN,115,119,NaN,NaN,NaN,NaN,2
1,57,4,173,2.34901,1,1,112,114,110,119,-6,3,-5,4,3
1,57,4,174,-3.17671,1,1,108,112,114,114,-3,-3,-2,-2,0
1,57,4,175,2.46833,1,1,111,108,112,112,-5,-5,-4,-4,0
1,57,4,176,0.83722,0,1,111,111,108,108,2,2,3,3,0
1,57,4,177,-3.32149,1,0,108,NaN,111,111,NaN,NaN,NaN,NaN,1
1,57,4,178,2.05748,0,1,110,108,112,111,-4,-5,-3,-4,0
1,57,4,179,3.42401,1,0,102,110,108,108,2,2,2,2,1
1,57,4,180,-1.52535,-1,1,109,102,110,110,-9,-9,-8,-8,1
1,57,4,181,3.88638,1,-1,113,109,102,102,8,8,7,7,1
1,57,4,182,-1.02011,1,1,113,113,109,109,3,3,4,4,0
1,57,4,183,0.59965,0,1,113,NaN,113,113,NaN,NaN,NaN,NaN,2
1,57,4,184,-5.33653,-1,0,113,113,112,113,0,1,0,1,0
1,57,4,185,4.22077,1,-1,113,NaN,113,113,NaN,NaN,NaN,NaN,1
1,57,4,186,-4.12143,0,1,115,NaN,107,113,NaN,NaN,NaN,NaN,0
1,57,4,187,0.5848,1,0,116,115,112,113,2,3,2,3,0
1,57,4,188,-7.16576,-1,1,108,116,115,115,0,0,1,1,2
1,57,4,189,10.6802,0,-1,120,108,116,116,-7,-7,-8,-8,0
1,57,4,190,-6.064,-1,0,115,120,108,108,12,12,12,12,2
1,57,4,191,-1.95354,1,-1,115,115,120,120,-4,-4,-5,-5,0
1,57,4,192,-8.05021,0,1,115,NaN,115,115,NaN,NaN,NaN,NaN,13
1,57,4,193,-14.48727,-2,0,115,NaN,113,115,NaN,NaN,NaN,NaN,1
1,57,4,194,5.97079,1,-2,115,115,115,115,2,2,0,0,2
1,57,4,195,-0.79854,1,1,115,NaN,115,115,NaN,NaN,NaN,NaN,1
1,57,4,196,-1.13462,1,1,115,NaN,122,115,NaN,NaN,NaN,NaN,1
1,57,4,197,-1.53286,1,1,118,NaN,121,115,NaN,NaN,NaN,NaN,1
1,57,4,198,-2.52296,1,1,115,118,120,115,2,-3,3,-2,0
1,57,4,199,1.97395,1,1,115,115,118,118,-4,-4,-3,-3,3
1,57,4,200,12.79097,2,1,132,NaN,115,115,NaN,NaN,NaN,NaN,0
1,58,1,1,-3.48723,NaN,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
1,58,1,2,8.26073,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1,58,1,3,5.80952,NaN,NaN,98,93,97,100,NaN,NaN,-7,-4,0
1,58,1,4,1.40354,NaN,NaN,98,98,93,93,NaN,NaN,5,5,0
1,58,1,5,-4.61729,NaN,NaN,94,NaN,98,98,NaN,NaN,NaN,NaN,0
1,58,1,6,-2.17834,NaN,NaN,92,94,99,98,NaN,NaN,-4,-5,0
1,58,1,7,3.25543,NaN,NaN,92,92,94,94,NaN,NaN,-2,-2,NaN
1,58,1,8,2.00723,NaN,NaN,92,NaN,92,92,NaN,NaN,NaN,NaN,0
1,58,1,9,-4.11349,NaN,NaN,92,NaN,95,92,NaN,NaN,NaN,NaN,0
1,58,1,10,0.35992,NaN,NaN,92,NaN,97,92,NaN,NaN,NaN,NaN,0
1,58,1,11,-7.36772,NaN,NaN,92,NaN,106,92,NaN,NaN,NaN,NaN,0
1,58,1,12,1.90752,NaN,NaN,92,NaN,106,92,NaN,NaN,NaN,NaN,0
1,58,1,13,-2.32305,NaN,NaN,102,NaN,98,92,NaN,NaN,NaN,NaN,0
1,58,1,14,-2.64775,NaN,NaN,99,102,100,92,NaN,NaN,10,2,0
1,58,1,15,0.36931,NaN,NaN,99,99,102,102,NaN,NaN,-3,-3,0
